kldb_title_de,kldb_title_en_proxy,kldb_5_code
Betriebswirt/in (Fachschule) - Recht/B. Prof. Wirtsch.,Business economist (technical school) - law/B. Prof. Economics.,71383
Betriebswirt/in (Fachschule) - Sozialwesen,Business economist (technical school) - social work,73223
Betriebswirt/in (Fachschule) - Sportmanagement,Business economist (technical school) - sports management,63123
Betriebswirt/in (Fachschule) - Steuern/B. Prof. Wirtsch.,Business economist (technical school) - taxes/B. Prof. Economics.,72303
Betriebswirt/in (Fachschule) - Tour./Reise/B. Prof. Wirtsch.,Business economist (technical school) - Tour./Travel/B. Prof. Economics.,63113
Betriebswirt/in (Fachschule) - Unternehm./B. Prof. Wirtsch.,Business economist (technical school) - Entrepreneurship/B. Prof. Economics.,71303
Betriebswirt/in (Fachschule) - Verkehr,Business economist (technical school) - transport,51613
Betriebswirt/in (Fachschule) - Versicherung,Business economist (technical school) - insurance,72133
Betriebswirt/in (Fachschule) - Verwaltung,Business economist (technical school) - administration,73203
Betriebswirt/in (Fachschule) - Vieh und Fleisch,Business economist (technical school) - livestock and meat,71383
Betriebswirt/in (Fachschule/Ausb.) - allg. BWL/B. Prof.,Business economist (technical school/training) - general business administration/B. Prof.,71303
Betriebswirt/in (Fachschule/Ausb.) - Auáenwirt./B. Prof.,Business economist (technical school/training) - Auáenwirt./B. Prof.,61213
Betriebswirt/in (geprft),Business economist (certified),71303
Betriebswirt/in (Hochschule),Business economist (university),71304
Betriebswirt/in (Hochschule) - Accounting und Controlling,Business economist (university) - accounting and controlling,72214
Betriebswirt/in (Hochschule) - allg. Betriebswirtschaft,Business economist (university) - general business administration,71304
Betriebswirt/in (Hochschule) - Automobilhandel,Business economist (university) - automotive trade,61284
Betriebswirt/in (Hochschule) - Automobilwirtschaft,Business economist (university) - automotive industry,61284
Betriebswirt/in (Hochschule) - Bank und Finanzdienstl.,Business economist (university) - banking and financial services.,72124
Betriebswirt/in (Hochschule) - Bauwirtschaft,Business economist (university) - construction industry,31174
Betriebswirt/in (Hochschule) - Betriebswirtschaft und Recht,Business economist (university) - business administration and law,71384
Betriebswirt/in (Hochschule) - Dienstleistungsmanagement,Business economist (university) - service management,92114
Betriebswirt/in (Hochschule) - E-Business,Business economist (university) - e-business,43114
Betriebswirt/in (Hochschule) - Gesundheitswesen,Business economist (university) - healthcare,73224
Betriebswirt/in (Hochschule) - Handel,Business economist (university) - trade,61204
Betriebswirt/in (Hochschule) - Handwerksmanagement,Business economist (university) - craft management,71304
Betriebswirt/in (Hochschule) - Hotelmanagement,Business economist (university) - hotel management,63294
Betriebswirt/in (Hochschule) - Immobilien,Business economist (university) - real estate,61314
Betriebswirt/in (Hochschule) - Industrie,Business economist (university) - industry,71304
Betriebswirt/in (Hochschule) - Internationale Wirtschaft,Business economist (university) - international economics,71304
Betriebswirt/in (Hochschule) - Kostenrechnung u. Kalkulation,Business economist (university) - cost accounting and calculation,72224
Betriebswirt/in (Hochschule) - Krankenversicherung,Business economist (university) - health insurance,73214
Betriebswirt/in (Hochschule) - Logistik,Business economist (university) - logistics,51624
Betriebswirt/in (Hochschule) - Marketing,Business economist (university) - Marketing,92114
Betriebswirt/in (Hochschule) - Marktforschung,Business economist (university) - market research,91344
Betriebswirt/in (Hochschule) - Personalmanagement,Business economist (university) - human resources management,71514
Betriebswirt/in (Hochschule) - Rechnungswesen,Business economist (university) - accounting,72214
Betriebswirt/in (Hochschule) - Rechnungswesen u. Controlling,Business economist (university) - accounting and controlling,72214
Betriebswirt/in (Hochschule) - Regionalmanagement,Business economist (university) - regional management,71333
Betriebswirt/in (Hochschule) - Sozialversicherung,Business economist (university) - social security,73214
Betriebswirt/in (Hochschule) - Steuern und Prfungswesen,Business economist (university) - taxes and auditing,72304
Betriebswirt/in (Hochschule) - Technische Betriebswirtsch.,Business economist (university) - technical business administration.,71304
Betriebswirt/in (Hochschule) - Touristik,Business economist (university) - tourism,63114
Betriebswirt/in (Hochschule) - Umweltkologie,Business economist (university) - environmental ecology,42314
Betriebswirt/in (Hochschule) - Umweltkonomie,Business economist (university) - environmental economics,42314
Betriebswirt/in (Hochschule) - Umweltschutz,Business economist (university) - environmental protection,42314
"Betriebswirt/in (Hochschule) - Unternehmensfhrung, Managem.","Business economist (university) - corporate management, management.",71304
Betriebswirt/in (Hochschule) - Verkehr,Business economist (university) - transport,51614
Betriebswirt/in (Hochschule) - Versicherung,Business economist (university) - insurance,72134
"Betriebswirt/in (Hochschule) - Werbung, Marketingkommunik.","Business economist (university) - advertising, marketing communications.",92114
Betriebswirt/in (HwO),Business economist (HwO),71303
Betriebswirt/in (staatl. gepr.) - Absatz-/Werbewesen,Business economist (state-certified) - sales/advertising,92113
Betriebswirt/in (staatl. gepr.) - Bank,Business economist (state-certified) - Bank,72113
Betriebswirt/in (staatl. gepr.) - Bauwirtschaft,Business economist (state-certified) - construction industry,31173
Betriebswirt/in (staatl. gepr.) - Drogerie,Business economist (state-certified) - drugstore,61283
Betriebswirt/in (staatl. gepr.) - Druck,Business economist (state-certified) - printing,71383
Betriebswirt/in (staatl. gepr.) - Eisenwaren/Hausrat,Business economist (state-certified) - hardware/household goods,61283
Betriebswirt/in (staatl. gepr.) - Fremdenverkehrswirtschaft,Business economist (state-certified) - tourism industry,63113
Betriebswirt/in (staatl. gepr.) - Fremdsprachen,Business economist (state-certified) - foreign languages,71413
Betriebswirt/in (staatl. gepr.) - Getrnke,Business economist (state-certified) - drinks,61283
Betriebswirt/in (staatl. gepr.) - Groáhaushalt,Business economist (state-certified) - large household,83213
Betriebswirt/in (staatl. gepr.) - Grundst.- und Wohnungsw.,Business economist (state-certified) - real estate and housing.,61313
"Betriebswirt/in (staatl. gepr.) - Hotel-, Gaststttengewerbe",Business economist (state-certified) - hotel and restaurant industry,63213
Betriebswirt/in (staatl. gepr.) - Leistungswirtschaft,Business economist (state-certified) - performance management,71303
Betriebswirt/in (staatl. gepr.) - Logistik,Business economist (state-certified) - logistics,51623
Betriebswirt/in (staatl. gepr.) - Marketing,Business economist (state-certified) - Marketing,92113
Betriebswirt/in (staatl. gepr.) - Medizin,Business economist (state-certified) - Medicine,73223
Betriebswirt/in (staatl. gepr.) - ffentlichkeitsarbeit,Business economist (state-certified) - public relations,92203
Betriebswirt/in (staatl. gepr.) - Organisat./Datenverarb.,Business economist (state-certified) - organization/data processing.,43113
"Betriebswirt/in (staatl. gepr.) - Person.Sozi.,Ausbildungsw.","Business economist (state-certified) - Personal, social, training.",71513
Betriebswirt/in (staatl. gepr.) - Recht,Business economist (state-certified) - Law,71383
Betriebswirt/in (staatl. gepr.) - Schwerp.Gesundheitskonomi,Business economist (state-certified) - specializing in health economics,73223
Betriebswirt/in (staatl. gepr.) - Sekretariat,Business economist (state-certified) - Secretariat,71403
Betriebswirt/in (staatl. gepr.) - Versicherung,Business economist (state-certified) - insurance,72133
Betriebswirt/in (staatl. gepr.) - Werbung,Business economist (state-certified) - advertising,92113
Betriebswirt/in (staatl. gepr.) - Wohnungsw. Realkredit,Business economist (state-certified) - Housing. Real loan,61313
Betriebswirt/in (staatl.gepr.) - Informationsverarbeitung,Business economist (state certified) - information processing,43113
Betriebswirt/in (VWA),Business economist (VWA),71303
Betriebswirt/in (Weiterbildung) - Agrarhandel,Business economist (further training) - agricultural trade,61283
Betriebswirt/in (Weiterbildung) - Groá- und Auáenhandel,Business economist (further training) - wholesale and foreign trade,61213
Betriebswirt/in (Wirtschaftsakademie),Business economist (business academy),71303
Betriebswirtschaftliche/r Assistent/in Gesundheitswesen,Business assistant in healthcare,73222
Betriebszimmer(er/in),operating room,33322
Bevlkerungswissenschaftler/in,Population scientist,91354
Bewhrungshelfer/in,Probationary assistant,83124
Bewegungsberater/in,Movement consultant,81783
Bewegungslehrer/in,Movement teacher,84553
Bewegungspdagoge/-pdagogin,Movement educator,81783
Bewegungstherapeut/in,Movement therapist,81783
Bewegungstrainer/in,Movement trainer,84553
Bewehrungszeichner/in,Reinforcement draftsman,27212
Bezirksbeauftragte/r (Bausparkasse),District representative (building society),72113
Bezirksberater/in (Bausparkasse),District advisor (building society),72113
Bezirksdirektor/in (Bausparkasse),District director (building society),72194
Bezirksdirektor/in (Krankenversicherung),District Director (Health Insurance),72194
Bezirkskaminkehrer/in,District chimney sweep,42293
Bezirkskaminkehrermeister/in,District master chimney sweep,42293
Bezirksleiter/in,District manager,61194
Bezirksleiter/in (Bausparkasse),District manager (building society),72113
Bezirksleiter/in (Versicherung),District Manager (Insurance),72194
Bezirksnotar/in,District notary,73124
Bezirksschornsteinfeger/in,District chimney sweep,42293
Bezirksschornsteinfegermeister/in,District master chimney sweep,42293
Bezirksvertreter/in,District representative,61123
Bibliothekar/in,Librarian,73324
Bibliothekar/in - Staatliche Allgemeinbibliotheken,Librarian - State General Libraries,73323
Bibliothekar/in - Wissenschaftliche Bibliotheken,Librarian - Academic Libraries,73323
Bibliothekar/in - wissenschaftlichen Bibliotheken (h.D.),Librarian - academic libraries (h.D.),73324
Bibliotheksassistent/in,Library assistant,73322
Bibliotheksaufseher/in,Library supervisor,53111
Bibliotheksbeamt(er/in) (geh. Dienst),Library officer (on duty),73323
Bibliotheksbeamt(er/in) (hh. Dienst),Library officer (head of duty),73324
Bibliotheksbuchbinder/in,Library bookbinder,23422
Bibliotheksfacharbeiter/in,Library specialist,73322
Bibliothekshelfer/in,Library assistant,71401
Bibliotheksleiter/in,Library manager,73394
Bibliothekssachbearbeiter/in,Library clerk,73322
Bibliotheksverwalter/in,Library administrator,73394
Bibliothekswissenschaftler/in,Library scientist,73324
Bienenhalter/in,Bee keeper,11232
Bienenmeister/in,Bee master,11293
Bienenwirtschaftsfacharbeiter/in,Beekeeping specialist,11232
Bienenzuchtberater/in,Beekeeping consultant,11233
Bienenzchter/in,Beekeeper,11232
Bienenzuchtgehilfe/-gehilfin,Beekeeping assistant,11232
Bierabfller/in,Beer bottler,29112
Bierausgeber/in,Beer dispenser,63301
Bierbrauer/in,Beer brewer,29112
Bierbraumeister/in,Master brewer,29193
Bierhersteller/in,Beer manufacturer,29112
Bierkutscher/in,Beer coachman,11342
Bierleitungsreiniger/in,Beer line cleaner,54142
Biersieder/in,Beer maker,29112
Biersiedermeister/in,Master beer maker,29193
Bierwirt/in,Beer owner,63394
Bierzapfer/in,Beer tapper,63301
Bilanzbuchhalter/in/B. Prof. Bilanzbuchhaltung,Accountant/B. Prof. Accounting,72213
Bilanzprfer/in,Auditor,72244
Bildarchivfachkraft,Image archive specialist,73312
Bildassistent/in (Fernsehproduktion),Image assistant (television production),94532
Bildberichterstatter/in,Photo reporter,23323
Bildeinfasser/in,Image framer,22342
Bildeinrahmer/in,Picture framer,22342
Bildende/r Knstler/in,Visual artist,93304
Bilderglaser/in,Picture glazier,33342
Bilderrahmenmacher/in,Picture frame maker,22332
Bilderverleger/in,Image publisher,92394
Bildgerteelektroniker/in,Image equipment electronics technician,26312
Bildgieáer/in,Image artist,24142
Bildhauer/in,Sculptor,93312
Bildhauermeister/in (Holz),Master sculptor (wood),93393
Bildingenieur/in,Image engineer,94534
Bildjournalist/in,Photojournalist,23323
Bildmischer/in,Image mixer,94532
Bildredakteur/in,Photo editor,92413
Bildregisseur/in,Image director,94534
Bildreporter/in,Photo reporter,23323
Bildschirmkorrektor/in,Screen corrector,71442
Bildschirmsetzer/in,Screen setter,23212
Bildschirmtechniker/in (Mechaniker/in),Screen technician (mechanic),26312
Bildschnitzer/in,Carver,93312
Bildtechniker/in,Image technician,94533
"Bildungs-, Studienberater/in",Educational and study advisor,71524
Bildungsdirektor/in,Director of Education,84494
Bildungsforscher/in,Educational researcher,91334
Bildungsmanager/in,Education manager,71514
Bildungsmanager/in - Erwachsenenbildung,Education Manager - Adult Education,71514
Bildungsreferent/in,Education officer,84404
Bildungswissenschaftler/in,Educational scientist,91334
Bildweber/in,Image weaver,28122
Billardtischler/in,Pool table maker,27282
BIM-Manager/in,BIM manager,31104
Bimser/in,Bimser,28332
Bindemittelfacharbeiter/in,Binder specialist,21222
Bindemittelproduktionsmeister/in,Binder production master,21293
Binnenfischer/in,Inland fisherman,11422
Binnenschiffer/in,Inland waterway boatman,52422
Binnenschiffer/in - Frachtschifffahrt,Inland waterway skipper - freight shipping,52422
Binnenschiffer/in - Personenschifffahrt,Inland waterway boatman - passenger shipping,52422
Binnenschiffermeister/in,Master inland waterway skipper,52423
Binnenschifffahrtskapitn/in,Inland waterway captain,52422
Biochemietechniker/in,Biochemistry technician,41283
Biochemiker/in,Biochemist,41284
Bioinformatiker/in,Bioinformatician,43134
Bioingenieur/in,Bioengineer,41214
Biokosmetiker/in,Organic cosmetician,82322
Biokybernetiker/in,Biocyberneticist,41284
Biolaborant/in,Biolaboratory technician,41212
Biologe/Biologin,Biologist/biologist,41204
Biologe/Biologin - Agrarbiologie,Biologist - Agricultural Biology,41234
Biologe/Biologin - allgemeine Biologie,Biologist - general biology,41204
Biologe/Biologin - Forensik,Biologist - Forensics,41284
Biologe/Biologin - Humanbiologie,Biologist - Human Biology,41274
Biologe/Biologin - Landschaftskologie/Naturschutz,Biologist - landscape ecology/nature conservation,41234
Biologe/Biologin - Molekularbiologie,Biologist - Molecular Biology,41284
Biologe/Biologin (BA/FH/Uni) - alle Fachrichtungen,Biologist (BA/FH/University) - all disciplines,41204
Biologielaborant/in,Biology laboratory assistant,41212
Biologiemodellmacher/in,Biology model maker,27232
Biologiemodellmachermeister/in,Master biology model maker,27293
Biologietechniker/in,Biology technician,41213
Biologisch-chemische/r Assistent/in,Biological-chemical assistant,41212
Biologisch-chemisch-technische/r Assistent/in,Biological-chemical-technical assistant,41212
Biologische/r Anthropologe/Anthropologin,Biological anthropologist,91264
Biologisch-technische/r Assistent/in,Biological-technical assistant,41212
Biomathematiker/in,Biomathematician,41184
Biomed. Fachanalytiker/in - Hmatologie,Biomed. Specialist analyst - hematology,81213
Biomed. Fachanalytiker/in - Histologie und Zytopathologie,Biomed. Specialist analyst - histology and cytopathology,81213
"Biomed. Fachanalytiker/in - Immunhmatolog.,Transfusionsmed.","Biomed. Specialist Analyst - Immunohmatologist, Transfusion Med.",81213
"Biomed. Fachanalytiker/in - klinische Chemie, Pathobiochemie","Biomed. Specialist analyst - clinical chemistry, pathobiochemistry",81213
"Biomed. Fachanalytiker/in - molekulare Biologie, Diagnostik","Biomed. Specialist analyst - molecular biology, diagnostics",81213
"Biomed. Fachanalytiker/in -med. Mikrobio., Virolog., Hygiene","Biomed. Specialist analyst -med. Microbio., Virolog., Hygiene",81213
Biomediziner/in,Biomedical scientist,41274
Biomedizintechniker/in,Biomedical engineer,82503
Biometriker/in,Biometrician,41114
Bioniker/in,Bionicist,27184
Biophysiker/in,Biophysicist,41484
Biophysiker/in (Uni),Biophysicist (university),41484
Biostatistiker/in,Biostatistician,41114
Biosthetiker/in,Biosthetician,82322
Biotechniker/in,Bioengineer,41213
Biotechniker/in (Genetik),Bioengineer (genetics),41283
Biotechnologe/-technologin,Biotechnologist,41214
Biotechnologische/r Assistent/in,Biotechnological assistant,41212
Bioverfahrenstechniker/in,Bioprocess engineer,41213
Biowissenschaftler/in,Bioscientist,41204
Bischof/Bischfin,Bishop/Bishop,83394
Bitumiermaschinenfhrer/in,Bituminizing machine operator,23122
Blasinstrumentenbauer/in,Wind instrument maker,93622
Blattfedermacher/in,Leaf spring maker,24212
Blaudrucker/in,Blue printer,28112
"Blech-, Kunststoffschlosserhelfer/in",Sheet metal and plastic fitter helper,34201
Blechbearbeiter/in,Sheet metal worker,24202
Blechblasinstrumentenbauer/in,Brass instrument maker,93632
Blechdrucker/in,Sheet metal printer,23412
Blechemaillierer/in,Sheet metal enameler,24382
Blechglher/in,Tin burner,24302
Blechkarosseriebauer/in,Sheet metal body builder,25212
Blechklempner/in,Sheet metal plumber,34202
Blechlocher/in,Sheet metal puncher,24212
Blechner/in,Tinsmith,34202
Blechnermeister/in,Master tinsmith,34293
Blechnieter/in,Sheet metal riveter,24422
Blechpresser/in,Sheet metal presser,24212
Blechpressmaschinenbediener/in,Sheet metal pressing machine operator,24201
Blechpressmaschineneinrichter/in,Sheet metal pressing machine setter,24212
Blechrichter/in,Sheet Metal Judge,24212
Blechschlosser/in,Sheet metal fitter,34202
Blechschlosserhelfer/in,Sheet metal worker assistant,34201
Blechschmied/in,Tinsmith,34202
Blechschneider/in,Sheet metal cutter,24212
Blechschweiáer/in,Sheet metal welder,24422
Blechstanzer/in,Sheet metal puncher,24212
Blechverarbeitungstechniker/in,Sheet metal processing technician,34203
Blechwalzer/in,Sheet metal roller,24122
Blechzieher/in,Sheet metal puller,24212
Blechziehmaschinenfhrer/in,Sheet metal drawing machine operator,24212
Blechzuschneider/in,Sheet metal cutter,24212
Bleicher/in (Textilveredlung),Bleacher (textile finishing),28142
Bleigieáer/in,Bleigieaer/in,24142
Bleiglaser/in,Lead glazier,33342
Bleilter/in,Bleiler/in,24422
Bleipressenarbeiter/in,Lead press worker,24212
Bleipressenfhrer/in,Lead press operator,24212
Bleischweiáer/in,Lead welder,24422
Blinde/r Telefonist/in,Blind telephone operator,71401
Blindenhelfer/in,Helper for the blind,83131
Blindenreitlehrer/in,Riding instructor for the blind,84583
Blindenschriftdrucker/in,Braille printer,23412
Blindenschriftsetzer/in,Braille typist,23212
Blitzableiterbauer/in (Klempner/in),Lightning rod builder (plumber),34202
Blitzableiterklempner/in,Lightning rod plumber,34202
Blitzableitermonteur/in,Lightning rod fitter,26212
Blitzschutzfachkraft,Lightning protection specialist,26212
Blitzschutzmonteur/in,Lightning protection technician,26212
Blockchain-Entwickler/in,Blockchain developer,43414
Blockfahrer/in (Walzer/in),Block driver (waltzer),24122
Blockfltenlehrer/in,Recorder teacher,84414
Blockgesell(e/in),Block member,29232
Blockmeister/in (Kraftwerksbetrieb),Block master (power plant operation),26293
Blocksteuerer/-steuerin,Block controller,24122
Blumenbinde(r)meister/in,Master flower arranger,12293
Blumenbinder/in,Flower arranger,12202
Blumenbinder/in (Naturblumen),Flower arranger (natural flowers),12202
Blumenbinder/in und -hndler/in (Florist/in),Flower arranger and dealer (florist),12202
Blumenbinderhelfer/in,Flower arranging assistant,12101
Blumengrtner/in,Flower gardener,12122
Blumenhndler/in,Florist,12202
Blumenmaler/in,Flower painter,93422
Blumenverkufer/in,Flower seller,12202
Blutbanktechniker/in,Blood bank technician,81213
"BMSR-Techniker/in (Betriebsmess-, Steuer.- und Regelungst.)","BMSR technician (operational measurement, control and regulation technician)",26123
Bobath-Therapeut/in,Bobath therapist,81713
Bodenakrobat/in,Floor acrobat,94283
Bodenchemiker/in (Uni),Soil chemist (university),41384
Bodenformer/in (Gieáerei),Soil shaper (foundry),24142
Bodenkundler/in,Soil scientist,42114
Bodenlederstanzer/in,Floor leather puncher,28332
Bodenleger/in,Floor layer,33102
Bodenleger/in - Parkett,Floor installer - parquet,33132
"Bodenleger/in (Estrich, Terrazzo)","Floor layer (screed, terrazzo)",33122
Bodenlegerhelfer/in,Floor laying assistant,33101
Bodenlegermeister/in (Estrich),Master floor layer (screed),33193
Bodenlegermeister/in (Parkett),Master floor layer (parquet),33193
Bodenpfleger/in,Floor care worker,54101
Bodensteward/-stewardess,Ground steward/stewardess,51422
Bodenverleger/in,Floor installer,33102
Bodenwissenschaftler/in,Soil scientist,42114
Body Guard,Bodyguard,53111
Bogenkalanderfhrer/in,Sheet calender operator,23112
Bogenmacher/in,Bow maker,93612
Bogenmachermeister/in/B. Prof. Bogenbauer-Handwerk,Master bow maker/B. Prof. bow maker craft,93693
Bogenschneidemaschinenfhrer/in,Sheet cutting machine operator,23112
Bohemist/in,Bohemist,91144
Bohr- und Frsmaschineneinrichter/in,Drilling and milling machine setter,24232
"Bohr-, Frder- und Rohrleitungstechniker/in","Drilling, production and pipeline technician",21113
"Bohrarbeiter/in (Erdl-, Erdgasgewinnung)",Drilling worker (oil and natural gas extraction),21112
Bohrarbeiter/in (Tiefbau),Drilling worker (civil engineering),32242
Bohrautomateneinrichter/in,Drill machine setter,24232
Bohrer/in,Driller,24232
Bohrerfahrer/in (Steinbruch),Drill driver (quarry),21212
Bohrerhelfer/in,Drill assistant,24201
Bohrerschleifer/in,Drill grinder,24222
Bohrfhrer/in - Brunnenbau,Drill operator - well construction,32242
Bohrgehilfe/in (Brunnenbau),Drill assistant (well construction),32201
Bohrgertefhrer/in,Drill rig operator,32242
Bohrgertefhrer/in (Brunnenbau),Drill rig operator (well construction),32242
Bohringenieur/in,Drilling engineer,21114
Bohrmaschinenbediener/in,Drilling machine operator,24201
Bohrmaschineneinrichter/in,Drilling machine setter,24232
Bohrmeister/in,Drill master,21193
Bohrschichtfhrer/in,Drill shift leader,21193
Bohrtechniker/in,Drilling technician,21113
Bohrtechniker/in - Servicebereich,Drilling technician - service area,21113
Bohrwerkdreher/in,Boring mill turner,24232
Bohrwerkfacharbeiter/in,Drilling mill skilled worker,24232
Bohrwerkseinrichter/in,Boring mill setter,24232
Bolzenpresser/in,Bolt presser,24122
Bolzenschmied/in,Boltsmith,24122
Bolzenwrmer/in,Bolt warmer,24411
Bonbon- und Konfektmacher/in,Candy and confectionery maker,29262
Bonbonmacher/in,Candy maker,29262
Bonittsanalyst/in,Credit analyst,72144
Bonittsreferent/in,Credit officer,72144
"Bootsbauer/in - Neu-, Aus- und Umbau","Boat builder - new construction, expansion and conversion",33322
Bootsbauer/in - Technik,Boat builder - technology,25242
Bootsbauer/in (ohne Fachrichtungen),Boat builder (without specialization),33322
Bootsbauermeister/in (bis 1998),Master boat builder (until 1998),25293
Bootsbauermeister/in/B. Prof. Bootsbauer-Handwerk,Master boat builder/B. Prof. Boatbuilding Craft,25293
Bootsfhrer/in,Boat driver,52423
Bootsfhrer/in (Binnenschifffahrt),Boat driver (inland waterway transport),52423
Bootsmann/-frau - Binnenschifffahrt,Boatswain - inland waterway transport,52422
Bootsmann/-frau/Pumpenmann/-frau,Boatswain/pump man/woman,51132
Bootsmechaniker/in,Boat mechanic,25242
Borddienstbeauftragte/r (Airline Catering),In-flight service representative (airline catering),63383
Borddienstleiter/in (Airline Catering),In-flight service manager (airline catering),63394
Bordfunker/in,On-board radio operator,51182
Bordfunker/in (Luftfahrt),On-board radio operator (aviation),51182
Bordmechaniker/in (Flugdiensttechniker/in),Flight mechanic (flight service technician),25233
Bordsteinsetzer/in,Curb setter,32212
Bordwart/in,Board attendant,25232
Brsenbroker/in,Stock broker,72123
Brsendisponent/in,Stock market dispatcher,72123
Brsenhndler/in,Stock exchange trader,72123
Brsenmakler/in,Stock broker,72123
Brsenvertreter/in,Stock exchange representative,72123
Borstpinselmacher/in,Bristle brush maker,22352
Bortenmacher/in,Border maker,28122
Botaniker/in,botanist,41244
Bote/Botin,messenger/messenger,51321
Bote/Botin (Bro),Messenger (office),51321
Botenfahrer/in,Messenger driver,52182
Bttcher/in,Bttcher/in,22382
Bttcherhelfer/in,Bttcherhilfe/in,22301
Bttchermeister/in/B. Prof. Bttcher-Handwerk,Master baker/in/B. Prof. Bttcher-Handwerk,22393
Boxer/in,Boxer,94243
Boxlehrer/in,Boxing instructor,84583
Boxtrainer/in,Boxing trainer,84583
Brandbekmpfungsbeauftragte/r und Ersthelfer/in,Firefighting officer and first responder,53122
Brand-Manager/in,Brand Manager,92114
Brandschutzbeauftragte/r,Fire protection officer,53133
Brandschutzberater/in,Fire protection consultant,53133
Brandschutzfachkraft,Fire protection specialist,53133
Brandschutzfachkraft (Brandschutzmonteur/in),Fire protection specialist (fire protection technician),33302
Brandschutzglaser/in,Fire protection glazier,33342
Brandschutzingenieur/in,Fire protection engineer,53134
Brandschutzmonteur/in,Fire protection technician,33302
Brandschutzsachverstndige/r,Fire protection expert,53134
Brandschutzsteiger/in,Fire protection climber,21113
Brandschutztechniker/in,Fire protection technician,53133
Brandsohlenmacher/in,Insole maker,28332
Brandsteiger/in,Brand climber,21113
"Branntsteinbrenner, -trockner, -glasierer/in","Firestone burner, dryer, glazier",21222
Branntsteinbrenner/in,Firestone burner,21222
Branntsteinhersteller/in,Firestone manufacturer,21222
Branntsteinherstellerhelfer/in,Firestone maker assistant,21201
Branntweinbrenner/in,Brandy distiller,29132
Bratenkoch/-kchin,Roast cook/cook,29322
Bratschenbauer/in,Viola maker,93612
Bratschenlehrer/in,Viola teacher,84414
Bratwurstbrater/in,Bratwurst roaster,29322
Brau- und Getrnketechnologe/-technologin/B. Prof. Technik,Brewing and beverage technologist/B. Prof. Technology,29103
Brauer- und Mlzermeister/in/B. Prof. Brauer- und MlzerHw.,Master brewer and maltster/B. Prof. Brewer and MlzerHw.,29193
Brauer/in,Brewer,29112
Brauer/in und Mlzer/in,Brewer and maltster,29112
Brauereifacharbeiter/in,Brewery skilled worker,29112
Brauereiingenieur/in,Brewery engineer,29114
Brauereimaschinenbediener/in,Brewery machine operator,29112
Brautechniker/in,Brewing technician,29113
Brecher/in (Textilveredlung),Crusher (textile finishing),28142
Brechermaschinist/in,Crusher machinist,21212
Bremsendienstmonteur/in,Brake service technician,25212
Bremsenmechaniker/in,Brake mechanic,25212
Bremser/in (Bahn),Brakeman (train),51112
Brenner/in,Burner,29132
Brenner/in (Mineralbrenner/in),Burner (mineral burner),21212
Brennereiingenieur/in,Distillery engineer,29134
Brennereitechniker/in,Distillery technician,29133
Brennermeister/in,Master distiller,29193
"Brennerspezialist/in (Gas-, lfeuerungsanlagen)","Burner specialist (gas, oil combustion systems)",34212
Brennhobler/in,Burning planer,24301
Brennmaschinenfhrer/in,Combustion engine operator,24422
Brennmeister/in (Keramiker/in),Master distiller (ceramist),21493
Brennschneider/in,Flame cutter,24422
Brennschneiderhelfer/in,Flame cutter assistant,24411
Brezelbcker/in,Pretzel maker,29222
Bridierer/in,Bridder,28222
Briefmarkensachverstndige/r,Stamp expert,94724
Briefsortierer/in,Letter sorter,51321
Brieftaschenmacher/in,Wallet maker,28322
Brieftaubenzchter/in,Carrier pigeon breeder,11282
Brieftrger/in,Postman,51322
Briefverteiler/in,Letter distributor,51322
Briefzusteller/in,Letter deliverer,51322
Brillantenschleifer/in,Diamond cutter,93522
Brillenbauer/in (Metall),Glasses maker (metal),24512
Brillenfassungsmacher/in,Glasses frame maker,24512
Brillengestellmacher/in (Metall),Glasses frame maker (metal),24512
Brillenglasfrser/in,Eyeglass lens cutter,21362
Brillenglasschleifer/in,Eyeglass lens grinder,21362
Brillenoptiker/in,Eyeglass optician,21362
Brillenoptikschleifer/in,Glasses optics grinder,21362
Broker/in (Brse),Broker (stock exchange),72123
Bronzegieáer/in,Bronze sculptor,24142
Broschrenmacher/in,Brochure maker,23422
Broschrer/in - Buchbinderhandwerk,Broschrer/in - bookbinding,23422
Brotausrichter/in,Bread organizer,29222
Brotbcker/in,Bread baker,29222
Brckenaufsicht (Kai),Bridge supervision (quay),51332
Brckenbauingenieur/in,Bridge construction engineer,31134
Brckenbaukonstrukteur/in,Bridge construction designer,31133
Brckenbauschlosser/in,Bridge construction fitter,24412
Brckenbauzimmer(er/in),Bridge construction room,33322
Brckenfahrer/in (Containerbrcke),Bridge driver (container bridge),52532
Brckenkranfhrer/in,Bridge crane driver,52532
Brckenwrter/in,Bridge warden,51242
Brunnenbauer/in,Well builder,32242
Brunnenbauermeister/in/B. Prof. Brunnenbauer-Handwerk,Master well builder/B. Prof. Brunnenbauer-Handwerk,32293
Brunnenbaupolier/in,Well construction foreman,32293
Brunnenbautechniker/in,Well construction technician,32243
Brunnenbauvorarbeiter/in,Well construction foreman,32242
Brunnenbohrer/in,Well driller,32242
Brunnenbohrmeister/in,Well drilling master,32293
Brunnendiener/in,Well servant,63301
Brunnenmacher/in,Well maker,32242
Buch- und Medienwirtschafter/in - Verlag,Book and media economist - publisher,92304
Buch- und Papierrestaurator/in,Book and paper restorer,23423
