de,en
Autolackierer/in,Car painter
Autolackierermeister/in,Master car painter
Automatenauffller/in (Verpflegung),Vending machine filler (catering)
Automatenaufsteller/in (Verleiher/in),Vending machine operator (renter)
Automatenbefller/in,Vending machine filler
Automatenbefller/-kassierer/in,Vending machine filler/cashier
Automatenbetreuer/in,Vending machine attendant
Automatenbohrer/in,Automatic driller
Automatencaterer,Vending machine caterer
Automatendreher/in,Machine lathe operator
Automateneinrichter/in,Vending machine setter
"Automateneinrichter/in - Formmaschinen, Gieáanlagen","Machine setter - molding machines, casting systems"
Automateneinrichter/in - spangebende Formung,Machine setter - machining forming
Automateneinrichter/in - spanlose Fertigung,Machine setter - non-cutting production
Automateneinrichter/in (Maschinenbau),Vending machine setter (mechanical engineering)
Automateneinsteller/in (Feinmechanik),Machine adjuster (precision mechanics)
Automatenfachmann/-frau - Automatendienstleistung,Vending machine specialist - vending machine service
Automatenfachmann/-frau - Automatenmechatronik,Vending machine specialist - vending machine mechatronics
Automatenfachmann/-frau (ohne Fachrichtungen),Vending machine specialist (without specialist areas)
Automatenkassierer/in,ATM cashier
Automatenkaufmann/-frau,Vending machine clerk
Automatenmechaniker/in (Spiel- und Verkaufsautomaten),Slot machine mechanic (gaming and vending machines)
Automatenschweiáer/in,Machine welder
Automatenservicefachkraft,Vending machine service specialist
Automatenspritzer/in (Lackiererei),Machine sprayer (paint shop)
Automatensticker/in,Vending machine sticker
Automatentechniker/in,Vending machine technician
Automatisierungs-Assistent/in,Automation assistant
Automatisierungsingenieur/in,Automation engineer
Automatisierungsingenieur/in - Eisenbahnsich./Fernmeldetech.,Automation engineer - railway security/telecommunications technology.
Automatisierungsingenieur/in - Forschung und Entwicklung,Automation engineer - research and development
Automatisierungsingenieur/in (FS) - Automatis. Nachrichtent.,Automation Engineer (FS) - Automation. Newst.
Automatisierungsingenieur/in (FS) - Automatisierungsanlagen,Automation engineer (FS) - automation systems
Automatisierungsingenieur/in (FS) - Verfahrenstechnik,Automation engineer (FS) - process engineering
Automatisierungsingenieur/in (FS) Automatisier./Fertigungst.,Automation engineer (FS) automation/production department
Automatisierungskonstrukteur/in,Automation designer
Automatisierungstechniker/in (Elektrotechnik),Automation technician (electrical engineering)
Automatisierungstechnische/r Assistent/in,Automation technology assistant
Automechaniker/in,Car mechanic
Automechanikerhelfer/in,Auto mechanic assistant
Automechatroniker/in,Auto mechatronics engineer
Automobilbetriebswirt/in (Fachschule),Automotive business economist (technical school)
Automobilbetriebswirt/in (Hochschule),Automotive business economist (university)
Automobildesigner/in,Automotive designer
Automobil-Fachmann/-frau,Automotive specialist
Automobil-Fachwirt/in,Automotive specialist
Automobilkaufmann/-frau,Automobile salesman/woman
Automobilmanagement-konom/in,Automotive management economist
Automobilmechaniker/in,Automobile mechanic
Automobilmechatroniker/in,Automotive mechatronics engineer
Automobil-Service-Assistent/in,Automotive service assistant
Automobil-Serviceberater/in,Automotive service advisor
Automobilverkufer/in,Automobile salesman
Autopfleger/in,Car care worker
Autopolsterer/-polsterin,Car upholsterer/upholsterer
Autor/in - interaktive Lernprogramme,Author - interactive learning programs
Autor/in / Schriftsteller/in,Author/Writer
Autoradiomonteur/in,Car radio fitter
Autorenagent/in,Author agent
Autorennfahrer/in,Car racing driver
Autoreparaturschlosser/in,Car repair mechanic
Autosattler/in,Car upholsterer
Autosattler/in und -polsterer/-polsterin,Car upholsterer and upholsterer
Autoschlosser/in,Car locksmith
Autoservicemann/-frau,Car service man/woman
Autotaschensattler/in,Car bag saddler
Autovermieter/in,Car rental company
Autowscher/in,Car washer
"Autowscher/in, -pfleger/in","Car washer, car attendant"
Avid Cutter/in,Avid editor
Avionic-Lehrer/in,Avionics instructor
Avioniker/in,Avionics engineer
Avionik-Mechaniker/in,Avionics mechanic
Avionik-Schichtfhrer/in (Avionik-Supervisor/in),Avionics shift leader (avionics supervisor)
AV-Mediendesigner/in,AV media designer
Bachelor of Arts - Musik,Bachelor of Arts - Music
Bachelor of Science - Biowissenschaften,Bachelor of Science - Biological Sciences
Bachelor of Science - Chemie,Bachelor of Science - Chemistry
Bachelor of Science - Chemie (anorganische Chemie),Bachelor of Science - Chemistry (inorganic chemistry)
Bachelor of Science - Mathematik,Bachelor of Science - Mathematics
Bachelor of Science - Molekularbiologie,Bachelor of Science - Molecular Biology
Bachelor of Science - kotrophologie,Bachelor of Science - cotrophology
Bachelor of Science - Physik,Bachelor of Science - Physics
Bachelor Professional - Betriebsinformatik,Bachelor Professional - Business Informatics
Bachelor Professional - Energieeffiz./digi. Bauprojektmanag.,Bachelor Professional - Energy Efficiency/Digital Construction project management.
Bachelor Professional - IT,Bachelor Professional - IT
Bachelor Professional - IT (Datenanalyse),Bachelor Professional - IT (Data Analysis)
Bachelor Professional - IT (Informationssicherheit),Bachelor Professional - IT (Information Security)
Bachelor Professional - IT (IT-Beratung),Bachelor Professional - IT (IT Consulting)
Bachelor Professional - IT (Softwareentwicklung),Bachelor Professional - IT (Software Development)
Bachelor Professional - IT (Systemintegration u. Vernetzung),Bachelor Professional - IT (System Integration and Networking)
Bachelor Professional - Straáenbetriebsmanagement,Bachelor Professional - Road Operations Management
Bachelor Professional - Versicherungen und Finanzanlagen,Bachelor Professional - Insurance and Financial Investments
Backend-Entwickler/in,Backend developer
Bcker/in,Baker
Bcker/in und Konditor/in,Baker and confectioner
Bckereianlagenfhrer/in,Bakery plant operator
Bckereifachverkufer/in,Bakery salesperson
Bckereimaschinenfhrer/in,Bakery machine operator
Bckereitechniker/in,Bakery technician
Bckereiverkufer/in,Bakery salesman
Bckerfachwerker/in,Bakery tradesman
Bckergehilfe/-gehilfin,Baker's assistant
Bckerhelfer/in,Baker's helper
Bckermeister/in/B. Prof. Bcker-Handwerk,Master baker/B. Prof. Bcker-Handwerk
Bckerwerker/in (õ66 BBiG/õ42m HWO),Bakery worker (õ66 BBiG/õ42m HWO)
Backofenbauer/in,Oven builder
Backofenbauermeister/in,Master oven builder
Backofenfhrer/in,Oven operator
Backstubenleiter/in,Bakery manager
Backtechniker/in,Baking technician
Backwarenfacharbeiter/in - Bcker,Bakery worker
Backwarenfacharbeiter/in - Konditor/in,Bakery worker - confectioner
Backwarenhersteller/in,Bakery manufacturer
Backwarenverkufer/in,Bakery salesman
Badeaufseher/in,Lifeguard
Badebetriebsleiter/in,Pool operations manager
Badegehilfe/Badegehilfin,Bathing assistant/bathing assistant
Badehelfer/in,Bath helper
Bademeister/in,Lifeguard
Badeschwester/-pfleger,Bath nurse/nurse
Badewrter/in (Schwimmbad),Pool attendant (swimming pool)
Badleiter/in,Pool manager
Baggerfahrer/in,Excavator driver
Baggerfhrer/in,Excavator operator
Baggermaschinist/in,Excavator machinist
Bahnagent/in,Railway agent
Bahnarbeiter/in,Railway worker
Bahnarbeiter/in (Gleisbau),Railway worker (track construction)
Bahnbeamt(er/in) (geh. techn. Dienst),Railway official (secondary technical service)
Bahnbetriebsschlosser/in,Railway company fitter
Bahnexpedient/in,Railway expedient
Bahnfachwirt/in,Railway specialist
Bahnreiniger/in,Railway cleaner
Bahnschaffner/in,Railway conductor
Bahnspediteur/in,Rail freight forwarder
Bahnverkehrsmeister/in,Railway traffic controller
Bakteriologe/Bakteriologin,Bacteriologist/bacteriologist
Balalaikamacher/in,Balalaika maker
Ballett- und Tanzdramaturg/in,Ballet and dance dramaturge
Ballett- und Tanzpdagoge/-pdagogin,Ballet and dance teacher
Ballettdirektor/in,Ballet director
Ballettlehrer/in,Ballet teacher
Ballettmeister/in,Ballet master
Ballettpdagoge/-pdagogin,Ballet teacher
Ballettrepetitor/in,Ballet Repetitor
Ballettschuhmacher/in,Ballet shoemaker
Balletttnzer/in,Ballet dancer
Ballonfahrer/in,Balloonist
Baltist/in,Balticist
Bananenreifemeister/in,Banana ripening master
"Bandagierer/in (Elektromotoren-, Transformatorenbau)",Bandwright (electric motor and transformer construction)
Bandagist/in,Bandagist
Bandagistenhelfer/in,Bandagist helper
Bandagistenmeister/in,Master bandagist
Bandaufseher/in,Band supervisor
Bandeisenschneider/in,Band iron cutter
Bandleiter/in,Band leader
Bandleiter/in (Bekleidungsindustrie),Band manager (clothing industry)
"Bandleiter/in (Schuh-, Lederwarenindustrie)",Band leader (shoe and leather goods industry)
Bandoneonmacher/in,Bandoneon maker
Bandsgenfhrer/in,Band saw operator
Bandscherensteuermann/-frau,Band scissors helmsman/woman
Bandstahlhrter/in,Strip steel hardener
Bandstanzer/in,Band puncher
Bandwalzer/in,Band waltz
Bandweber/in,Ribbon weaver
Banjobauer/in,Banjo maker
Bankangestellte/r,Bank employee
Bankbeamt(er/in) (geh. Dienst),Bank officer (on duty)
Bankbeamt(er/in) (hh. Dienst),Bank officer (higher duty)
Bankbeamt(er/in) (mittl. Dienst),Bank officer (intermediate service)
Bankbereichsleiter/in,Bank division manager
Bankbetriebswirt/in (Fachschule),Bank business economist (technical school)
Bankbetriebswirt/in (Hochschule),Banking business economist (university)
Bankbevollmchtigte/r,Bank representative
Bankbuchhalter/in,Bank accountant
Bankdirektor/in,Bank manager
Bankdisponent/in,Bank dispatcher
Bankenanalyst/in (Kreditgeschft),Bank analyst (credit business)
Bankettassistent/in,Banquet assistant
Bankettdirektor/in,Banquet director
Bankettleiter/in,Banquet manager
Bankettleiterassistent/in,Banquet manager assistant
Bankettmanager/in,Banquet manager
Bankettmanager-Assistent/in,Banquet Manager Assistant
Bankfachmann/-frau,Bank specialist
Bankfachwirt/in,Bank specialist
Bankfilialleiter/in,Bank branch manager
Bankkassierer/in,Bank cashier
Bankkaufmann/-frau,Bank clerk
Bankkorrespondent/in,Bank correspondent
Bankmitarbeiter/in,Bank employee
Bankprsident/in,Bank president
Bankprokurist/in,Bank authorized representative
Bankrevisor/in,Bank auditor
Banktischler/in,Bank carpenter
Bankvorstand,Bank board
Barakuda-Tauchlehrer/in,Barakuda diving instructor
Barbesitzer/in,Bar owner
Bar-Chef/in,Bar manager
Bar-Commis (Barmixer/in),Bar-Commis (bar mixer)
Bargehilfe/-gehilfin,Bar assistant
Barista,Barista
Barkassenfhrer/in,Barge operator
Barkeeper/in,Bartender
Barkellner/in,Bar waiter
Barleiter/in,Bar manager
Barmann/Bardame,Barman/barmaid
Barmeister/in,Bar master
"Barmixer/in, Barkeeper/in","Bartender, bartender"
Bartschleifer/in,Beard grinder
Batteriehersteller/in,Battery manufacturer
Bau- u. Mbeltischler/in,Construction and furniture carpenter
Bau- u. Mbeltischlermeister/in,Master construction and furniture carpenter
Bau- und Metallmaler/in (õ66 BBiG/õ42m HWO),Construction and metal painter (õ66 BBiG/õ42m HWO)
Bau- und Projektkaufmann/-frau,Construction and project clerk
Bauabdichtungstechniker/in,Building waterproofing technician
Bauabrechner/in,Construction accountant
Bauaufseher/in - Glasbau/Fensterbau,Construction supervisor - glass construction/window construction
Bauaufseher/in (Baukontrolle),Construction supervisor (construction control)
Bauaufzugsbediener/in,Construction elevator operator
Bauaufzugsfhrer/in,Construction elevator operator
Bauaufzugsmaschinist/in,Construction elevator machinist
Baubetriebsingenieur/in,Construction operations engineer
Baubetriebstechniker/in,Construction operations technician
Baubetriebswirt/in (Hochschule),Construction business economist (university)
Baubiologe/-biologin,Building biologist
Baublechner/in,Construction sheet metal worker
Bauchredner/in,Ventriloquist
Bauchtnzer/in,Belly dancer
Baudenkmalpfleger/in (Architekt/in),Architectural monument conservator (architect)
Baudenkmalpfleger/in (Techniker/in),Architectural monument conservator (technician)
Bauelektriker/in,Construction electrician
Bauer/Buerin,Farmer/farmer's wife
Baufacharbeiter/in - Gleisbau,Construction worker - track construction
Baufacharbeiter/in - Hochbau,Construction worker - building construction
Baufacharbeiter/in - Kommunaler Tiefbau,Construction worker - municipal civil engineering
Baufacharbeiter/in - Mauerwerksbau,Construction worker - masonry construction
Baufacharbeiter/in - Maurerarbeiten,Construction worker - masonry work
Baufacharbeiter/in - Montagearbeiten,Construction worker - assembly work
Baufacharbeiter/in - Montagebau,Construction worker - assembly construction
Baufacharbeiter/in - Putzen,Construction worker - cleaning
Baufacharbeiter/in - Stahlbetonarbeiten,Construction worker - reinforced concrete work
Baufacharbeiter/in - Stahlbetonbewehrungsbau,Construction worker - reinforced concrete reinforcement construction
Baufacharbeiter/in - Stahlbetonschalungsbau,Construction worker - reinforced concrete formwork construction
Baufacharbeiter/in - Tiefbau,Construction worker - civil engineering
Baufacharbeiter/in - Tiefbauarbeiten,Construction worker - civil engineering work
Baufachwerker/in - Ausbau (õ66 BBiG/õ42m HwO),Construction specialist - expansion (õ66 BBiG/õ42m HwO)
Baufachwerker/in - Hochbau (õ66 BBiG/õ42m HWO),Construction specialist - building construction (õ66 BBiG/õ42m HWO)
Baufachwerker/in - Tiefbau (õ66 BBiG/õ42m HWO),Construction worker - civil engineering (õ66 BBiG/õ42m HWO)
Baufachwerker/in (Hochbau),Construction worker (building construction)
Baufachwerker/in (Tiefbau),Construction specialist (civil engineering)
Baufachwirt/in,Construction specialist
Bauflaschner/in,Construction plumber
Bauforscher/in,Construction researcher
Baugertefhrer/in,Construction equipment operator
Baugertefhrer/in - Hochbau,Construction equipment operator - building construction
Baugertefhrer/in - Straáen- u. Tiefbau,Construction equipment operator - road and civil engineering
Bauglaser/in,Construction glazier
Baugussformer/in,Construction molder
Bauhelfer/in - Ausbau,Construction assistant - expansion
Bauhelfer/in - Hochbau,Construction assistant - building construction
Bauhelfer/in - Tiefbau,Construction assistant - civil engineering
Bauhilfsarbeiter/in,Construction worker
Bauhistoriker/in,Building historian
Bauhofarbeiter/in,Construction yard worker
Bauhoffacharbeiter/in,Construction yard skilled worker
Bauhofverwalter/in,Building yard manager
Bauingenieur/in - Hochbau,Civil engineer - structural engineering
Bauingenieur/in - Stahl- und Metallbau,Civil engineer - steel and metal construction
Bauingenieur/in - Tiefbau,Civil engineer - civil engineering
Bauingenieur/in - Verkehr,Civil engineer - traffic
Bauingenieur/in - Wasserbau,Civil engineer - hydraulic engineering
Bauingenieur/in (BA),Civil engineer (BA)
Bauingenieur/in (FS) - Brckenbau,Civil engineer (FS) - bridge construction
Bauingenieur/in (FS) - Eisenbahnbau,Civil engineer (FS) - railway construction
Bauingenieur/in (FS) - Hochbau,Civil engineer (FS) - structural engineering
Bauingenieur/in (FS) - Landschafts- und Grnanlagenanbau,Civil engineer (FS) - landscape and green area cultivation
Bauingenieur/in (FS) - Straáenbau,Civil engineer (FS) - road construction
Bauingenieur/in (FS) - Tiefbau,Civil engineer (FS) - civil engineering
Bauisoleur/in,Construction insulation engineer
Baukalkulator/in,Construction estimator
Baukeramiker/in,Architectural ceramicist
Bauklempner/in,Construction plumber
Baukletterer/-kletterin,Construction climber
Baukonstrukteur/in,Construction designer
Baukonstruktionstechniker/in,Building construction technician
Baukontrolleur/in (Bautechniker/in),Construction inspector (construction technician)
Baukontrolleur/in (Sicherheitskontrolleur/in),Construction inspector (safety inspector)
Baukranfhrer/in,Construction crane driver
Baukranmaschinist/in,Construction crane machinist
Bauleitende/r Monteur/in,Construction manager/fitter
Bauleitende/r Monteur/in (Gas- u. Wasserinstallation),Construction manager (gas and water installation)
Bauleitende/r Monteur/in (Kachelofen- u. Luftheizungsbau),Construction manager (tiled stove and air heating construction)
Bauleitende/r Monteur/in (Rohrnetzbauer/in),Construction manager (pipe network builder)
Bauleiter/in,Construction manager
Bauleiter/in (Architekt/in),Construction manager (architect)
Bauleiter/in (Ausbau),Construction manager (expansion)
Bauleiter/in (Bauingenieur/in),Construction manager (civil engineer)
Bauleiter/in (Hochbau),Construction manager (building construction)
Bauleiter/in (Straáenbau),Construction manager (road construction)
Bauleiter/in (Tiefbau),Construction manager (civil engineering)
Baumaler/in,Building painter
Baumarktfachberater/in,Hardware store consultant
Baumarktleiter/in,Hardware store manager
Baumarktverkufer/in,Hardware store salesperson
Baumaschineneinsatzleiter/in,Construction machinery operations manager
Baumaschinen-Fachmeister/in,Construction machinery specialist
Baumaschinenfhrer/in,Construction machine operator
Baumaschinenmechaniker/in,Construction machinery mechanic
Baumaschinenmeister/in,Construction machinery master
Baumaschinenmonteur/in,Construction machinery fitter
Baumaschinenpolier/in,Construction machinery polisher
Baumaschinenschlosser/in,Construction machine fitter
Baumaschinentechniker/in,Construction machinery technician
Baumaschinenvorarbeiter/in,Construction machinery foreman
Baumaschinist/in,Construction machinist
Baumaschinist/in (Baggerfahrer/in),Construction machinist (excavator driver)
"Baumeister/in (Architekt, Bauingenieur)","Master builder (architect, civil engineer)"
Bumer/in (Kabel),Boomer (cable)
Bumer/in (Webvorbereiter/in),Bumer (weaving preparer)
Baumfller/in,Tree feller
Baumpfleger/in,Arborist
Baumsanierer/in,Tree renovator
Baumschmuckblser/in,Tree decoration blower
Baumschulenarbeiter/in,Nursery worker
Baumschulenhelfer/in,Nursery helper
Baumschulentechniker/in,Nursery technician
Baumschulgrtner/in,Nursery gardener
Baumschulgrtnermeister/in,Master nursery gardener
Baukologe/-kologin,Building ecologist
Bauphysiker/in (FH/Uni),Building physicist (FH/University)
Baureiniger/in (Gebudereinigung),Construction cleaner (building cleaning)
Bausachverstndige/r,Construction expert
Bausanierungstechniker/in,Construction renovation technician
Bauschlosser/in,Construction locksmith
Bauschlosserhelfer/in,Construction locksmith assistant
Bauschlossermeister/in,Master construction locksmith
Bauschlussreiniger/in,Construction cleaner
Bauschmied/in,Blacksmith
Bauschreiner/in,Construction carpenter
Bauspar- und Finanzierungskaufmann/-frau,Building savings and financing clerk
Bausparberater/in,Building savings consultant
Bausparbetreuer/in,Building society supervisor
Bausparfachmann/-frau,Building society specialist
Bausparfinanzierungssachbearbeiter/in,Building society financing officer
Bausparkassenantragsbearbeiter/in,Building society application processor
Bausparkassenberater/in,Building society advisor
Bausparkassenfachmann/-frau,Building society specialist
Bausparkassenkaufmann/-frau,Building society clerk
Bausparkassenmakler/in,Building society broker
Bausparkassenprfer/in,Building society auditor
Bausparkassenrevisor/in,Building society auditor
Bausparkassensachbearbeiter/in,Building society clerk
Bausparkassenvertragsverwalter/in,Building society contract administrator
Bausparkassenvertragswerber/in,Building society contract applicant
Bausparkassenvertreter/in,Building society representative
Bauspengler/in,Construction plumber
Bausteinmetz/in,Building stone mason
Baustellenelektriker/in,Construction site electrician
Baustellenkontrolleur/in,Construction site inspector
Baustellenleitend. Monteur/in,Construction site manager. Fitter
Baustellenprfer/in,Construction site inspector
Baustellenrechner/in,Construction site computer
Baustoffhndler/in (Einzelhandel),Building materials dealer (retail)
Baustoffhersteller/in - Steine- und Erdenindustrie,Building materials manufacturer - stone and earth industry
Baustoffindustriehelfer/in,Building materials industry helper
Baustoffingenieur/in (FS) - Bauelemente,Building materials engineer (FS) - structural elements
Baustoffingenieur/in (FS) - Baustoffe,Building materials engineer (FS) - building materials
Baustoffkonstruktionstechniker/in,Building material construction technician
Baustofflaborant/in,Building materials laboratory assistant
Baustoffmaschinist/in - Beton,Building materials machinist - concrete
Baustoffmaschinist/in - Bindebaustoffe,Building materials machinist - binding building materials
Baustoffmaschinist/in - Faserbaustoffe,Building materials machinist - fiber building materials
Baustoffmaschinist/in - Kleinformatige Bauelemente,Building materials machinist - small-format components
Baustoffmaschinist/in - Schwere Zuschlagstoffe,Building Materials Machinist - Heavy Aggregates
Baustoffprfer/in,Building materials inspector
Baustoffprfer/in - Asphalttechnik,Building material inspector - asphalt technology
Baustoffprfer/in - Bituminse Massen,Building material inspector - Bituminous materials
Baustoffprfer/in - Boden,Building material inspector - soil
Baustoffprfer/in - Geotechnik,Building materials inspector - geotechnics
Baustoffprfer/in - Mrtel und Beton,Building material inspector - mortar and concrete
Baustoffprfer/in - Mrtel- und Betontechnik,Building materials inspector - mortar and concrete technology
Baustoffprfungsingenieur/in,Building materials testing engineer
Baustofftechniker/in,Building materials technician
Baustuckateur/in,Building plasterer
Bautechniker/in - Ausbau,Construction technician - expansion
Bautechniker/in - Baudenkmalpflege/Altbauerneuerung,Construction technician - monument preservation/old building renovation
Bautechniker/in - Bauerneuerung/Bausanierung,Construction technician - farm renovation/construction renovation
Bautechniker/in - Baukonstruktion,Construction technician - building construction
Bautechniker/in - Betonbau,Construction technician - concrete construction
Bautechniker/in - Hochbau,Construction technician - building construction
Bautechniker/in - Stahlbetonbau,Construction technician - reinforced concrete construction
Bautechniker/in - Statische Berechnungen,Construction technician - static calculations
Bautechniker/in - Tiefbau,Construction technician - civil engineering
Bautechniker/in - Wasserwirtschaftsverwaltung,Construction technician - water management administration
Bautechnische/r Berater/in,Structural engineering consultant
Bauteilehersteller/in (Kunststoff und Kautschuk),Component manufacturer (plastic and rubber)
Bauten- und Objektbeschichter/in,Building and object coater
Bautenbeschichter/in,Building coater
Bautenschtzer/in,Building conservator
Bautenschutzfachkraft,Building protection specialist
Bautischler/in,Construction carpenter
Bautischler/in - Rahmenglaser/in,Construction carpenter - frame glazier
Bautischlermeister,Master carpenter
Bauverglaser/in,Construction glazier
Bauvermessungstechniker/in,Construction surveying technician
Bauwerker/in,Builder
Bauwerkerhaltungstechniker/in,Building maintenance technician
Bauwerksabdichter/in,Building sealer
Bauwerkserhalter/in,Building maintainer
Bauwerksmechaniker/in fr Abbruch und Betontrenntechnik,Building mechanic for demolition and concrete separation technology
Bauzeichner/in,Architectural draftsman
Bauzeichner/in - Architektur,Architectural draftsman - architecture
Bauzeichner/in - Eisenbahnbau,Architectural draftsman - railway construction
Bauzeichner/in - Hochbau,Architectural draftsman - building construction
Bauzeichner/in - Hochbau einschl. raumbildender Ausbau,Architectural draftsman - building construction including space-forming expansion
Bauzeichner/in - Ingenieurbau,Architectural draftsman - civil engineering
Bauzeichner/in - Stahlbetonbau,Architectural draftsman - reinforced concrete construction
Bauzeichner/in - Straáenbau/Brckenbau,Architectural draftsman - road construction/bridge construction
Bauzeichner/in - Technische Gebudeausrstung,Architectural draftsman - technical building equipment
"Bauzeichner/in - Tief-, Straáen- u. Landschaftsbau","Architectural draftsman - civil engineering, road construction and landscaping"
Bauzeichner/in - Tiefbau,Architectural draftsman - civil engineering
Bauzeichner/in - Verkehrsbau,Architectural draftsman - traffic construction
Bauzeichner/in - Wasserbau,Architectural draftsman - hydraulic engineering
Bauzeichner/in - Wasserwesen,Architectural draftsman - water engineering
Bauzimmer(er/in),building room
Beamt(er/in) - Abschiebungshaftvollzugsdienst (m.D.),Civil servant - deportation detention service (m.D.)
Beamt(er/in) - Agrarverwaltung (geh. techn. Dienst),Civil servant - agricultural administration (secondary technical service)
Beamt(er/in) - Allg. Innere Verwaltung (geh. Dienst),Civil servant - General Internal Administration (private service)
Beamt(er/in) - Allg. Innere Verwaltung (hh. Dienst),Civil servant - General Internal Administration (higher service)
Beamt(er/in) - Allg. Innere Verwaltung (mittl. Dienst),Civil servant - General Internal Administration (intermediate service)
Beamt(er/in) - Arbeits- u. Immis.schutz (geh. techn. Dienst),Civil servant - occupational health and safety (technical service)
Beamt(er/in) - Arbeitsschutzverwaltung (geh. techn. Dienst),Civil servant - occupational safety administration (technical service)
Beamt(er/in) - Archivdienst (geh. Dienst),Civil servant - archive service (private duty)
Beamt(er/in) - Archivdienst (hh. Dienst),Civil servant - archive service (higher duty)
Beamt(er/in) - Archivdienst (mittl. Dienst),Civil servant - archive service (intermediate service)
Beamt(er/in) - Auswrtiger Dienst (geh. Dienst),Civil servant - foreign service (public service)
Beamt(er/in) - Auswrtiger Dienst (hh.Dienst),Civil servant - foreign service (hh.dienst)
Beamt(er/in) - Auswrtiger Dienst (mittl. Dienst),Civil servant - foreign service (intermediate service)
Beamt(er/in) - Bahnwesen (geh. techn. Dienst),Civil servant - railway system (technical service)
Beamt(er/in) - Bankdienst (hh. Dienst),Civil servant - banking service (higher duty)
Beamt(er/in) - Bankdienst (mittl. Dienst),Civil servant - banking service (intermediate service)
Beamt(er/in) - Bergverwaltung (geh. bergtechn. Dienst),Civil servant - mining administration (former mining service)
Beamt(er/in) - Bergverwaltung (geh. Dienst),Civil servant - mining administration (on duty)
Beamt(er/in) - Bergverwaltung (hh. bergtechn. Dienst),Civil servant - mining administration (head of mining service)
Beamt(er/in) - Bergverwaltung (mittl. Dienst),Civil servant - mining administration (intermediate service)
"Beamt(er/in) - Bibliotheks-, Dokumentationsdienst (geh.Diens","Civil servant - library, documentation service (paid service)"
"Beamt(er/in) - Bibliotheks-, Dokumentationsdienst (mittl.D.)",Civil servant - library and documentation service (middle D.)
Beamt(er/in) - Bibliotheksdienst (geh. Dienst),Civil servant - library service (paid duty)
Beamt(er/in) - Bibliotheksdienst (hh. Dienst),Civil servant - library service (higher duty)
Beamt(er/in) - Bibliotheksdienst (mittl. Dienst),Civil servant - library service (intermediate service)
Beamt(er/in) - Bund (geh. Dienst),Civil servant - Federal (public service)
Beamt(er/in) - Bund (geh. techn. Dienst),Civil servant - federal government (technical service)
Beamt(er/in) - Bund (hh. Dienst),Civil servant - federal government (higher service)
Beamt(er/in) - Bund (hh. techn. Dienst),Civil servant - federal government (technical service)
Beamt(er/in) - Bund (mittl. Dienst),Civil servant - federal government (intermediate service)
Beamt(er/in) - Bundesagentur fr Arbeit (geh. Dienst),Civil servant - Federal Employment Agency (private duty)
Beamt(er/in) - Bundesagentur fr Arbeit (hh. Dienst),Civil servant - Federal Employment Agency (higher service)
Beamt(er/in) - Bundesanstalt f.Immobilienaufg. (geh. Dienst),Civil servant - Federal Agency for Real Estate Management (go on duty)
Beamt(er/in) - Bundesanstalt f.Immobilienaufg. (hh. Dienst),Civil servant - Federal Agency for Real Estate Management (hh. service)
Beamt(er/in) - Bundesbank (geh. Dienst),Civil servant - Bundesbank (on duty)
Beamt(er/in) - Bundesbank (hh. Dienst),Civil servant - Bundesbank (higher service)
Beamt(er/in) - Bundesbank (mittl. Dienst),Civil servant - Bundesbank (intermediate service)
Beamt(er/in) - Bundeskriminaldienst (geh. Dienst),Civil servant - Federal Criminal Police Service (private duty)
Beamt(er/in) - Bundesnachrichtendienst (geh. Dienst),Civil servant - Federal Intelligence Service (former duty)
Beamt(er/in) - Bundesnachrichtendienst (geh. nichtt. Dienst),Civil servant - Federal Intelligence Service (non-retired service)
Beamt(er/in) - Bundesnachrichtendienst (hh. Dienst),Civil servant - Federal Intelligence Service (higher service)
Beamt(er/in) - Bundesnachrichtendienst (mittl. Dienst),Civil servant - Federal Intelligence Service (intermediate service)
Beamt(er/in) - Bundeswehrverwaltung (geh. techn. Dienst),Civil servant - Bundeswehr administration (technical service)
Beamt(er/in) - Bundeswehrverwaltung (hh. techn. Dienst),Civil servant - Bundeswehr administration (high technical service)
Beamt(er/in) - Bundeswehrverwaltung (mittl. techn. Dienst),Civil servant - Bundeswehr administration (intermediate technical service)
Beamt(er/in) - Deutsches Patentamt (hh. Dienst),Civil servant - German Patent Office (higher service)
Beamt(er/in) - Digitale Verwaltung (geh. Dienst),Civil servant - digital administration (private duty)
Beamt(er/in) - Dokumentationsdienst (mittl. Dienst),Civil servant - documentation service (intermediate service)
Beamt(er/in) - Eichwesen (geh. techn. Dienst),Official - Calibration (technical service)
Beamt(er/in) - Eichwesen (mittl. techn. Dienst),Civil servant - calibration (intermediate technical service)
Beamt(er/in) - einfacher Dienst,Civil servant - simple duty
Beamt(er/in) - Eisenbahn-Unfallkasse (geh. techn. Dienst),Civil servant - railway accident fund (technical service)
Beamt(er/in) - Eisenbahn-Unfallkasse (hh. techn. Dienst),Civil servant - Railway Accident Fund (high technical service)
Beamt(er/in) - Evang. Kirche (geh. Dienst),Official - Evang. Church (public service)
Beamt(er/in) - Fernmelde- u. Elektron. Aufklrung (geh.t.D.),Civil servant - telecommunications and electronics Enlightenment (geh.t.D.)
Beamt(er/in) - Fernmelde- u. Elektron. Aufklrung (m.t.D.),Civil servant - telecommunications and electronics Enlightenment (m.t.D.)
